SITE	DATE	TIME	TEMP	SERIAL
NAPL	4/1/02	8:25:00	11.68	526486
NAPL	4/1/02	8:35:00	11.68	526486
NAPL	4/1/02	8:45:00	11.68	526486
NAPL	4/1/02	8:55:00	11.68	526486
NAPL	4/1/02	9:05:00	11.68	526486
NAPL	4/1/02	9:15:00	11.68	526486
NAPL	4/1/02	9:25:00	11.6	526486
NAPL	4/1/02	9:35:00	11.68	526486
NAPL	4/1/02	9:45:00	11.6	526486
NAPL	4/1/02	9:55:00	11.68	526486
NAPL	4/1/02	10:05:00	11.68	526486
NAPL	4/1/02	10:15:00	11.68	526486
NAPL	4/1/02	10:25:00	11.68	526486
NAPL	4/1/02	10:35:00	11.68	526486
NAPL	4/1/02	10:45:00	11.68	526486
NAPL	4/1/02	10:55:00	11.6	526486
NAPL	4/1/02	11:05:00	11.6	526486
NAPL	4/1/02	11:15:00	11.6	526486
NAPL	4/1/02	11:25:00	11.6	526486
NAPL	4/1/02	11:35:00	11.6	526486
NAPL	4/1/02	11:45:00	11.6	526486
NAPL	4/1/02	11:55:00	11.6	526486
NAPL	4/1/02	12:05:00	11.6	526486
NAPL	4/1/02	12:15:00	11.6	526486
NAPL	4/1/02	12:25:00	11.6	526486
NAPL	4/1/02	12:35:00	11.6	526486
NAPL	4/1/02	12:45:00	11.6	526486
NAPL	4/1/02	12:55:00	11.6	526486
NAPL	4/1/02	13:05:00	11.6	526486
NAPL	4/1/02	13:15:00	11.6	526486
NAPL	4/1/02	13:25:00	11.6	526486
NAPL	4/1/02	13:35:00	11.6	526486
NAPL	4/1/02	13:45:00	11.68	526486
NAPL	4/1/02	13:55:00	11.68	526486
NAPL	4/1/02	14:05:00	11.6	526486
NAPL	4/1/02	14:15:00	11.68	526486
NAPL	4/1/02	14:25:00	11.68	526486
