Date	"Time, GMT+00:00"	"Temp, °C()"
7/17/2010	19:15:00	16.058
7/17/2010	19:45:00	16.177
7/17/2010	20:15:00	15.891
7/17/2010	20:45:00	16.511
7/17/2010	21:15:00	16.201
7/17/2010	21:45:00	16.249
7/17/2010	22:15:00	16.296
7/17/2010	22:45:00	16.392
7/17/2010	23:15:00	15.772
7/17/2010	23:45:00	15.366
7/18/2010	0:15:00	15.867
7/18/2010	0:45:00	15.843
7/18/2010	1:15:00	15.27
7/18/2010	1:45:00	15.175
7/18/2010	2:15:00	16.106
7/18/2010	2:45:00	16.01
7/18/2010	3:15:00	15.533
7/18/2010	3:45:00	15.891
7/18/2010	4:15:00	15.366
7/18/2010	4:45:00	15.318
7/18/2010	5:15:00	14.84
7/18/2010	5:45:00	15.39
7/18/2010	6:15:00	15.963
7/18/2010	6:45:00	16.153
7/18/2010	7:15:00	16.058
7/18/2010	7:45:00	16.129
7/18/2010	8:15:00	14.266
7/18/2010	8:45:00	15.199
7/18/2010	9:15:00	15.079
7/18/2010	9:45:00	16.129
7/18/2010	10:15:00	15.199
7/18/2010	10:45:00	15.652
7/18/2010	11:15:00	14.673
7/18/2010	11:45:00	13.618
7/18/2010	12:15:00	14.242
7/18/2010	12:45:00	14.649
7/18/2010	13:15:00	15.247
7/18/2010	13:45:00	15.843
7/18/2010	14:15:00	15.676
7/18/2010	14:45:00	15.461
7/18/2010	15:15:00	15.796
7/18/2010	15:45:00	15.652
7/18/2010	16:15:00	15.557
7/18/2010	16:45:00	15.533
7/18/2010	17:15:00	15.557
7/18/2010	17:45:00	15.629
7/18/2010	18:15:00	15.581
7/18/2010	18:45:00	15.557
7/18/2010	19:15:00	15.414
7/18/2010	19:45:00	15.438
7/18/2010	20:15:00	15.414
7/18/2010	20:45:00	15.438
7/18/2010	21:15:00	15.366
7/18/2010	21:45:00	15.247
7/18/2010	22:15:00	15.366
7/18/2010	22:45:00	15.342
7/18/2010	23:15:00	15.438
7/18/2010	23:45:00	15.366
7/19/2010	0:15:00	15.318
7/19/2010	0:45:00	15.079
7/19/2010	1:15:00	15.055
7/19/2010	1:45:00	14.936
7/19/2010	2:15:00	14.721
7/19/2010	2:45:00	14.697
7/19/2010	3:15:00	14.529
7/19/2010	3:45:00	14.625
7/19/2010	4:15:00	14.242
7/19/2010	4:45:00	14.074
7/19/2010	5:15:00	13.93
7/19/2010	5:45:00	13.81
7/19/2010	6:15:00	13.666
7/19/2010	6:45:00	13.57
7/19/2010	7:15:00	13.497
7/19/2010	7:45:00	13.425
7/19/2010	8:15:00	13.522
7/19/2010	8:45:00	13.329
7/19/2010	9:15:00	13.257
7/19/2010	9:45:00	13.305
7/19/2010	10:15:00	13.473
7/19/2010	10:45:00	13.353
7/19/2010	11:15:00	13.016
7/19/2010	11:45:00	13.137
7/19/2010	12:15:00	13.016
7/19/2010	12:45:00	12.944
7/19/2010	13:15:00	13.112
7/19/2010	13:45:00	13.137
7/19/2010	14:15:00	12.992
7/19/2010	14:45:00	12.751
7/19/2010	15:15:00	12.775
7/19/2010	15:45:00	12.654
7/19/2010	16:15:00	12.63
7/19/2010	16:45:00	12.389
7/19/2010	17:15:00	12.171
7/19/2010	17:45:00	13.04
7/19/2010	18:15:00	13.449
7/19/2010	18:45:00	13.473
7/19/2010	19:15:00	13.618
7/19/2010	19:45:00	14.457
7/19/2010	20:15:00	14.529
7/19/2010	20:45:00	13.329
7/19/2010	21:15:00	12.847
7/19/2010	21:45:00	12.654
7/19/2010	22:15:00	13.642
7/19/2010	22:45:00	13.858
7/19/2010	23:15:00	13.978
7/19/2010	23:45:00	14.146
7/20/2010	0:15:00	14.337
7/20/2010	0:45:00	14.529
7/20/2010	1:15:00	14.553
7/20/2010	1:45:00	14.361
7/20/2010	2:15:00	14.314
7/20/2010	2:45:00	14.577
7/20/2010	3:15:00	14.673
7/20/2010	3:45:00	14.529
7/20/2010	4:15:00	13.257
7/20/2010	4:45:00	12.92
7/20/2010	5:15:00	13.233
7/20/2010	5:45:00	12.799
7/20/2010	6:15:00	12.847
7/20/2010	6:45:00	13.016
7/20/2010	7:15:00	14.337
7/20/2010	7:45:00	13.858
7/20/2010	8:15:00	14.577
7/20/2010	8:45:00	12.413
7/20/2010	9:15:00	12.268
7/20/2010	9:45:00	12.461
7/20/2010	10:15:00	12.461
7/20/2010	10:45:00	12.364
7/20/2010	11:15:00	12.098
7/20/2010	11:45:00	12.219
7/20/2010	12:15:00	12.34
7/20/2010	12:45:00	12.437
7/20/2010	13:15:00	12.34
7/20/2010	13:45:00	12.122
7/20/2010	14:15:00	12.558
7/20/2010	14:45:00	13.137
7/20/2010	15:15:00	13.449
7/20/2010	15:45:00	13.786
7/20/2010	16:15:00	14.002
7/20/2010	16:45:00	14.146
7/20/2010	17:15:00	14.29
7/20/2010	17:45:00	14.864
7/20/2010	18:15:00	14.457
7/20/2010	18:45:00	13.69
7/20/2010	19:15:00	14.074
7/20/2010	19:45:00	14.266
7/20/2010	20:15:00	14.337
7/20/2010	20:45:00	14.29
7/20/2010	21:15:00	14.505
7/20/2010	21:45:00	14.194
7/20/2010	22:15:00	14.625
7/20/2010	22:45:00	14.912
7/20/2010	23:15:00	15.247
7/20/2010	23:45:00	15.247
7/21/2010	0:15:00	15.223
7/21/2010	0:45:00	15.461
7/21/2010	1:15:00	15.7
7/21/2010	1:45:00	15.27
7/21/2010	2:15:00	15.199
7/21/2010	2:45:00	14.864
7/21/2010	3:15:00	14.385
7/21/2010	3:45:00	15.223
7/21/2010	4:15:00	15.366
7/21/2010	4:45:00	12.437
7/21/2010	5:15:00	12.34
7/21/2010	5:45:00	12.437
7/21/2010	6:15:00	12.34
7/21/2010	6:45:00	12.534
7/21/2010	7:15:00	13.161
7/21/2010	7:45:00	13.233
7/21/2010	8:15:00	13.064
7/21/2010	8:45:00	13.281
7/21/2010	9:15:00	13.257
7/21/2010	9:45:00	13.064
7/21/2010	10:15:00	12.727
7/21/2010	10:45:00	12.703
7/21/2010	11:15:00	12.654
7/21/2010	11:45:00	12.968
7/21/2010	12:15:00	13.473
7/21/2010	12:45:00	13.594
7/21/2010	13:15:00	13.449
7/21/2010	13:45:00	13.401
7/21/2010	14:15:00	13.762
7/21/2010	14:45:00	13.93
7/21/2010	15:15:00	14.96
7/21/2010	15:45:00	14.266
7/21/2010	16:15:00	14.122
